airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Average Taxi Out Time,Average Taxi Out Delay,Average Airborne Delay,Average Taxi In Delay,DATE
ORD,2019-01-01,0,2,10,25.0,15.3,0.0,2.74,2019-01-01 00:00:00
ORD,2019-01-01,1,2,0,19.75,8.55,0.0,3.1,2019-01-01 01:00:00
ORD,2019-01-01,2,0,3,0.0,0.0,0.0,0.0,2019-01-01 02:00:00
ORD,2019-01-01,3,0,1,26.5,15.3,0.0,9.1,2019-01-01 03:00:00
ORD,2019-01-01,4,1,5,0.0,0.0,0.0,1.67,2019-01-01 04:00:00
ORD,2019-01-01,5,8,13,28.57,17.3,1.56,2.34,2019-01-01 05:00:00
ORD,2019-01-01,6,18,27,26.22,14.32,2.08,8.02,2019-01-01 06:00:00
ORD,2019-01-01,7,62,55,26.35,14.73,1.57,6.31,2019-01-01 07:00:00
ORD,2019-01-01,8,73,62,25.23,13.77,3.28,11.72,2019-01-01 08:00:00
ORD,2019-01-01,9,61,58,30.76,19.23,12.74,13.65,2019-01-01 09:00:00
ORD,2019-01-01,10,98,60,35.39,23.78,1.71,11.29,2019-01-01 10:00:00
ORD,2019-01-01,11,55,65,33.77,22.27,1.37,8.43,2019-01-01 11:00:00
ORD,2019-01-01,12,73,86,33.47,21.96,2.84,9.93,2019-01-01 12:00:00
ORD,2019-01-01,13,61,52,37.95,26.39,2.22,14.4,2019-01-01 13:00:00
ORD,2019-01-01,14,78,108,39.46,27.94,3.17,12.71,2019-01-01 14:00:00
ORD,2019-01-01,15,80,38,37.32,25.74,1.66,12.71,2019-01-01 15:00:00
ORD,2019-01-01,16,60,77,31.93,20.38,2.04,13.34,2019-01-01 16:00:00
ORD,2019-01-01,17,54,76,38.43,26.72,1.58,11.65,2019-01-01 17:00:00
ORD,2019-01-01,18,98,93,33.59,22.1,3.84,13.31,2019-01-01 18:00:00
ORD,2019-01-01,19,73,72,36.76,25.05,2.7,14.07,2019-01-01 19:00:00
ORD,2019-01-01,20,61,67,33.71,22.32,3.18,22.51,2019-01-01 20:00:00
ORD,2019-01-01,21,58,48,28.95,17.42,2.67,11.88,2019-01-01 21:00:00
ORD,2019-01-01,22,35,15,34.43,23.01,3.31,3.89,2019-01-01 22:00:00
ORD,2019-01-01,23,1,19,29.0,17.6,1.0,3.77,2019-01-01 23:00:00
ORD,2019-01-02,0,5,9,19.0,7.68,0.7,5.98,2019-01-02 00:00:00
ORD,2019-01-02,1,2,1,15.0,3.87,0.0,5.05,2019-01-02 01:00:00
ORD,2019-01-02,2,1,2,10.0,0.0,1.0,3.4,2019-01-02 02:00:00
ORD,2019-01-02,3,3,0,13.5,2.3,0.0,5.6,2019-01-02 03:00:00
ORD,2019-01-02,4,1,5,21.0,9.6,0.25,0.15,2019-01-02 04:00:00
ORD,2019-01-02,5,11,14,18.45,7.23,0.56,1.86,2019-01-02 05:00:00
ORD,2019-01-02,6,35,55,24.56,12.77,2.11,5.56,2019-01-02 06:00:00
ORD,2019-01-02,7,91,74,31.86,20.29,3.24,7.54,2019-01-02 07:00:00
ORD,2019-01-02,8,93,77,36.56,25.02,4.13,10.6,2019-01-02 08:00:00
ORD,2019-01-02,9,65,63,35.83,24.25,7.0,9.37,2019-01-02 09:00:00
ORD,2019-01-02,10,101,63,43.11,31.56,2.68,7.59,2019-01-02 10:00:00
ORD,2019-01-02,11,57,72,35.14,23.73,3.06,6.21,2019-01-02 11:00:00
ORD,2019-01-02,12,77,86,37.93,26.33,2.32,8.07,2019-01-02 12:00:00
ORD,2019-01-02,13,65,54,35.02,23.45,3.43,7.54,2019-01-02 13:00:00
ORD,2019-01-02,14,79,114,39.25,27.69,4.17,7.32,2019-01-02 14:00:00
ORD,2019-01-02,15,82,39,31.86,20.26,2.59,7.17,2019-01-02 15:00:00
ORD,2019-01-02,16,60,80,29.9,18.25,4.03,6.94,2019-01-02 16:00:00
ORD,2019-01-02,17,54,79,30.52,18.85,2.83,7.69,2019-01-02 17:00:00
ORD,2019-01-02,18,101,99,30.67,19.16,2.38,8.53,2019-01-02 18:00:00
ORD,2019-01-02,19,78,78,31.61,19.91,1.51,10.82,2019-01-02 19:00:00
ORD,2019-01-02,20,61,66,30.67,19.27,3.03,14.36,2019-01-02 20:00:00
ORD,2019-01-02,21,61,53,28.02,16.44,2.87,6.55,2019-01-02 21:00:00
ORD,2019-01-02,22,37,14,18.98,7.56,4.2,4.49,2019-01-02 22:00:00
ORD,2019-01-02,23,1,24,18.17,6.83,3.29,3.91,2019-01-02 23:00:00
ORD,2019-01-03,0,8,8,16.38,5.08,2.3,3.69,2019-01-03 00:00:00
ORD,2019-01-03,1,3,1,18.33,6.93,4.0,1.1,2019-01-03 01:00:00
ORD,2019-01-03,2,2,1,18.5,7.3,0.0,4.1,2019-01-03 02:00:00
ORD,2019-01-03,3,0,0,0.0,0.0,0.0,5.1,2019-01-03 03:00:00
ORD,2019-01-03,4,0,6,0.0,0.0,0.69,1.77,2019-01-03 04:00:00
ORD,2019-01-03,5,9,13,13.9,2.62,1.2,0.65,2019-01-03 05:00:00
ORD,2019-01-03,6,31,51,23.03,11.26,1.53,4.3,2019-01-03 06:00:00
ORD,2019-01-03,7,85,73,24.25,12.66,1.38,7.71,2019-01-03 07:00:00
ORD,2019-01-03,8,90,74,20.88,9.37,1.17,9.03,2019-01-03 08:00:00
ORD,2019-01-03,9,59,63,18.58,7.13,2.81,7.5,2019-01-03 09:00:00
ORD,2019-01-03,10,98,61,25.49,13.98,1.56,8.53,2019-01-03 10:00:00
ORD,2019-01-03,11,58,66,18.29,6.85,1.12,5.99,2019-01-03 11:00:00
ORD,2019-01-03,12,70,83,16.42,5.03,1.01,4.59,2019-01-03 12:00:00
ORD,2019-01-03,13,62,51,15.73,4.47,2.15,6.7,2019-01-03 13:00:00
ORD,2019-01-03,14,78,113,21.54,10.04,2.18,5.97,2019-01-03 14:00:00
ORD,2019-01-03,15,84,38,17.93,6.51,1.38,3.69,2019-01-03 15:00:00
ORD,2019-01-03,16,58,76,15.22,3.73,2.05,4.54,2019-01-03 16:00:00
ORD,2019-01-03,17,52,79,18.85,7.31,1.68,5.45,2019-01-03 17:00:00
ORD,2019-01-03,18,100,91,21.75,10.31,2.16,7.87,2019-01-03 18:00:00
ORD,2019-01-03,19,73,76,20.39,8.74,2.59,7.25,2019-01-03 19:00:00
ORD,2019-01-03,20,60,61,18.25,6.92,1.44,7.53,2019-01-03 20:00:00
ORD,2019-01-03,21,60,49,17.51,6.05,1.25,3.58,2019-01-03 21:00:00
ORD,2019-01-03,22,36,16,17.14,5.73,1.13,1.53,2019-01-03 22:00:00
ORD,2019-01-03,23,1,22,15.2,3.88,1.3,2.47,2019-01-03 23:00:00
ORD,2019-01-04,0,5,10,15.0,3.97,0.11,2.32,2019-01-04 00:00:00
ORD,2019-01-04,1,3,1,16.33,4.93,0.0,6.1,2019-01-04 01:00:00
ORD,2019-01-04,2,2,1,28.5,17.1,5.0,4.1,2019-01-04 02:00:00
ORD,2019-01-04,3,1,0,11.0,0.0,0.0,4.1,2019-01-04 03:00:00
ORD,2019-01-04,4,0,5,0.0,0.0,0.0,0.89,2019-01-04 04:00:00
ORD,2019-01-04,5,9,13,15.4,3.84,18.67,1.02,2019-01-04 05:00:00
ORD,2019-01-04,6,31,50,18.12,6.45,1.4,2.98,2019-01-04 06:00:00
ORD,2019-01-04,7,85,73,19.15,7.62,1.29,7.12,2019-01-04 07:00:00
ORD,2019-01-04,8,89,74,20.18,8.73,1.46,8.76,2019-01-04 08:00:00
ORD,2019-01-04,9,59,64,17.75,6.45,1.33,7.78,2019-01-04 09:00:00
ORD,2019-01-04,10,98,61,26.48,14.97,1.52,7.11,2019-01-04 10:00:00
ORD,2019-01-04,11,57,65,15.27,3.94,0.45,6.44,2019-01-04 11:00:00
ORD,2019-01-04,12,72,82,16.8,5.43,9.93,5.81,2019-01-04 12:00:00
ORD,2019-01-04,13,60,52,16.87,5.46,2.38,4.72,2019-01-04 13:00:00
ORD,2019-01-04,14,77,112,17.49,6.07,1.14,7.55,2019-01-04 14:00:00
ORD,2019-01-04,15,83,39,16.65,5.3,0.4,4.56,2019-01-04 15:00:00
ORD,2019-01-04,16,59,77,17.53,5.98,1.25,4.99,2019-01-04 16:00:00
ORD,2019-01-04,17,52,80,19.1,7.49,1.31,5.07,2019-01-04 17:00:00
ORD,2019-01-04,18,100,93,26.61,15.05,0.67,7.55,2019-01-04 18:00:00
ORD,2019-01-04,19,76,78,23.12,11.41,0.56,11.02,2019-01-04 19:00:00
ORD,2019-01-04,20,59,63,16.34,5.02,0.69,12.47,2019-01-04 20:00:00
ORD,2019-01-04,21,59,49,21.33,9.79,0.65,4.49,2019-01-04 21:00:00
ORD,2019-01-04,22,38,12,16.62,5.29,0.08,2.11,2019-01-04 22:00:00
ORD,2019-01-04,23,1,24,20.5,9.1,0.91,3.01,2019-01-04 23:00:00
ORD,2019-01-05,0,5,9,21.29,9.89,0.3,1.39,2019-01-05 00:00:00
ORD,2019-01-05,1,5,1,20.0,8.6,0.0,2.55,2019-01-05 01:00:00
ORD,2019-01-05,2,0,0,0.0,0.0,0.0,7.1,2019-01-05 02:00:00
ORD,2019-01-05,3,0,0,30.0,18.6,0.0,0.0,2019-01-05 03:00:00
ORD,2019-01-05,4,0,5,0.0,0.0,0.0,2.39,2019-01-05 04:00:00
ORD,2019-01-05,5,10,13,15.91,4.58,0.64,1.01,2019-01-05 05:00:00
ORD,2019-01-05,6,28,54,19.46,7.59,0.81,2.64,2019-01-05 06:00:00
ORD,2019-01-05,7,92,66,19.24,7.81,1.35,8.43,2019-01-05 07:00:00
ORD,2019-01-05,8,91,71,23.15,11.65,1.04,8.99,2019-01-05 08:00:00
ORD,2019-01-05,9,66,67,19.12,7.68,1.13,8.34,2019-01-05 09:00:00
ORD,2019-01-05,10,93,61,26.15,14.6,1.24,7.03,2019-01-05 10:00:00
ORD,2019-01-05,11,59,65,17.2,5.82,0.56,4.94,2019-01-05 11:00:00
ORD,2019-01-05,12,67,77,18.82,7.49,1.04,3.84,2019-01-05 12:00:00
ORD,2019-01-05,13,55,55,19.86,8.33,4.18,4.56,2019-01-05 13:00:00
ORD,2019-01-05,14,71,100,21.84,10.26,0.92,4.73,2019-01-05 14:00:00
ORD,2019-01-05,15,74,35,17.64,6.12,0.89,5.99,2019-01-05 15:00:00
ORD,2019-01-05,16,58,80,19.21,7.72,1.71,4.88,2019-01-05 16:00:00
ORD,2019-01-05,17,53,71,19.61,8.22,0.99,5.25,2019-01-05 17:00:00
ORD,2019-01-05,18,92,88,21.48,10.0,1.6,6.65,2019-01-05 18:00:00
ORD,2019-01-05,19,72,78,18.16,6.54,0.65,7.17,2019-01-05 19:00:00
ORD,2019-01-05,20,58,64,15.95,4.73,1.06,6.16,2019-01-05 20:00:00
ORD,2019-01-05,21,57,46,18.41,6.84,1.02,1.65,2019-01-05 21:00:00
ORD,2019-01-05,22,40,9,15.97,4.71,3.45,4.75,2019-01-05 22:00:00
ORD,2019-01-05,23,0,24,0.0,0.0,2.88,3.48,2019-01-05 23:00:00
ORD,2019-01-06,0,4,7,20.2,8.88,1.33,1.98,2019-01-06 00:00:00
ORD,2019-01-06,1,5,1,17.17,5.83,0.0,0.0,2019-01-06 01:00:00
ORD,2019-01-06,2,1,2,11.0,0.0,0.0,0.0,2019-01-06 02:00:00
ORD,2019-01-06,3,1,0,0.0,0.0,0.0,0.0,2019-01-06 03:00:00
ORD,2019-01-06,4,0,4,0.0,0.0,0.0,2.3,2019-01-06 04:00:00
ORD,2019-01-06,5,8,16,12.89,1.83,17.93,1.63,2019-01-06 05:00:00
ORD,2019-01-06,6,34,54,18.49,6.68,3.93,5.82,2019-01-06 06:00:00
ORD,2019-01-06,7,87,70,20.02,8.51,2.26,8.5,2019-01-06 07:00:00
ORD,2019-01-06,8,91,73,23.94,12.39,4.17,10.59,2019-01-06 08:00:00
ORD,2019-01-06,9,65,67,18.75,7.19,4.88,9.36,2019-01-06 09:00:00
ORD,2019-01-06,10,94,63,25.84,14.37,2.92,7.33,2019-01-06 10:00:00
ORD,2019-01-06,11,66,69,18.94,7.5,2.25,7.53,2019-01-06 11:00:00
ORD,2019-01-06,12,69,80,18.45,7.04,2.75,9.68,2019-01-06 12:00:00
ORD,2019-01-06,13,63,62,18.67,7.21,3.27,9.67,2019-01-06 13:00:00
ORD,2019-01-06,14,77,110,18.71,7.31,3.29,8.99,2019-01-06 14:00:00
ORD,2019-01-06,15,87,39,18.37,6.85,2.34,7.09,2019-01-06 15:00:00
ORD,2019-01-06,16,54,78,20.05,8.65,1.68,7.43,2019-01-06 16:00:00
ORD,2019-01-06,17,60,82,22.67,11.0,2.43,10.31,2019-01-06 17:00:00
ORD,2019-01-06,18,98,94,28.17,16.64,3.29,9.69,2019-01-06 18:00:00
ORD,2019-01-06,19,84,80,19.94,8.19,2.54,12.27,2019-01-06 19:00:00
ORD,2019-01-06,20,57,66,18.31,6.89,2.42,9.3,2019-01-06 20:00:00
ORD,2019-01-06,21,56,46,18.43,6.95,1.63,7.02,2019-01-06 21:00:00
ORD,2019-01-06,22,32,14,16.71,5.46,1.69,4.38,2019-01-06 22:00:00
ORD,2019-01-06,23,2,27,15.67,4.4,0.89,1.63,2019-01-06 23:00:00
ORD,2019-01-07,0,6,8,23.0,11.6,0.5,2.4,2019-01-07 00:00:00
ORD,2019-01-07,1,2,1,19.4,8.08,0.0,12.87,2019-01-07 01:00:00
ORD,2019-01-07,2,0,0,0.0,0.0,0.0,3.73,2019-01-07 02:00:00
ORD,2019-01-07,3,0,0,0.0,0.0,0.0,0.0,2019-01-07 03:00:00
ORD,2019-01-07,4,1,0,15.0,3.6,0.25,2.5,2019-01-07 04:00:00
ORD,2019-01-07,5,7,8,15.75,4.55,15.42,0.76,2019-01-07 05:00:00
ORD,2019-01-07,6,35,49,19.03,7.17,4.69,6.32,2019-01-07 06:00:00
ORD,2019-01-07,7,87,65,23.09,11.51,2.67,10.1,2019-01-07 07:00:00
ORD,2019-01-07,8,93,69,30.51,18.96,3.44,10.86,2019-01-07 08:00:00
ORD,2019-01-07,9,62,70,26.59,15.12,5.93,10.36,2019-01-07 09:00:00
ORD,2019-01-07,10,91,60,34.22,22.69,1.69,9.14,2019-01-07 10:00:00
ORD,2019-01-07,11,66,68,26.28,14.67,5.07,7.52,2019-01-07 11:00:00
ORD,2019-01-07,12,72,93,21.46,9.97,10.5,6.13,2019-01-07 12:00:00
ORD,2019-01-07,13,68,66,18.51,6.92,8.22,5.12,2019-01-07 13:00:00
ORD,2019-01-07,14,85,101,21.76,10.07,3.48,6.3,2019-01-07 14:00:00
ORD,2019-01-07,15,79,42,18.85,7.4,2.24,4.67,2019-01-07 15:00:00
ORD,2019-01-07,16,59,79,15.05,3.73,2.35,4.41,2019-01-07 16:00:00
ORD,2019-01-07,17,60,78,20.59,8.9,3.18,4.83,2019-01-07 17:00:00
ORD,2019-01-07,18,97,99,32.19,20.7,2.76,8.58,2019-01-07 18:00:00
ORD,2019-01-07,19,84,78,24.49,12.69,2.64,9.64,2019-01-07 19:00:00
ORD,2019-01-07,20,45,66,17.68,6.32,4.73,8.11,2019-01-07 20:00:00
ORD,2019-01-07,21,52,46,17.41,5.85,1.48,3.93,2019-01-07 21:00:00
ORD,2019-01-07,22,33,17,15.73,4.6,1.33,2.38,2019-01-07 22:00:00
ORD,2019-01-07,23,0,22,24.2,12.74,1.91,2.85,2019-01-07 23:00:00
ORD,2019-01-08,0,3,8,14.6,3.28,1.11,3.27,2019-01-08 00:00:00
ORD,2019-01-08,1,2,0,13.67,2.53,0.0,5.25,2019-01-08 01:00:00
ORD,2019-01-08,2,0,2,18.0,7.2,0.0,0.0,2019-01-08 02:00:00
ORD,2019-01-08,3,0,1,0.0,0.0,3.0,4.1,2019-01-08 03:00:00
ORD,2019-01-08,4,1,0,16.0,4.6,0.13,0.92,2019-01-08 04:00:00
ORD,2019-01-08,5,8,7,11.67,1.3,19.3,2.03,2019-01-08 05:00:00
ORD,2019-01-08,6,34,42,16.16,4.67,2.58,2.17,2019-01-08 06:00:00
ORD,2019-01-08,7,85,66,19.88,8.49,2.54,4.61,2019-01-08 07:00:00
ORD,2019-01-08,8,88,70,19.67,8.12,1.78,6.29,2019-01-08 08:00:00
ORD,2019-01-08,9,57,63,18.41,7.03,2.14,4.91,2019-01-08 09:00:00
ORD,2019-01-08,10,86,59,21.78,10.29,2.05,5.37,2019-01-08 10:00:00
ORD,2019-01-08,11,61,69,16.67,5.31,1.93,2.89,2019-01-08 11:00:00
ORD,2019-01-08,12,71,88,16.65,5.33,6.48,4.39,2019-01-08 12:00:00
ORD,2019-01-08,13,61,64,17.85,6.48,3.97,5.5,2019-01-08 13:00:00
ORD,2019-01-08,14,87,95,18.91,7.43,2.66,5.75,2019-01-08 14:00:00
ORD,2019-01-08,15,72,41,17.04,5.62,1.56,3.89,2019-01-08 15:00:00
ORD,2019-01-08,16,52,75,18.04,6.56,2.36,4.69,2019-01-08 16:00:00
ORD,2019-01-08,17,54,74,19.75,8.16,5.08,4.66,2019-01-08 17:00:00
ORD,2019-01-08,18,96,97,24.93,13.42,2.12,6.09,2019-01-08 18:00:00
ORD,2019-01-08,19,82,64,18.51,6.74,1.8,5.64,2019-01-08 19:00:00
ORD,2019-01-08,20,42,66,15.76,4.7,0.85,5.35,2019-01-08 20:00:00
ORD,2019-01-08,21,49,40,19.91,8.36,15.45,3.26,2019-01-08 21:00:00
ORD,2019-01-08,22,30,20,22.74,11.4,1.0,5.15,2019-01-08 22:00:00
ORD,2019-01-08,23,1,21,19.8,8.4,2.14,5.17,2019-01-08 23:00:00
ORD,2019-01-09,0,5,8,15.86,4.91,1.29,4.83,2019-01-09 00:00:00
ORD,2019-01-09,1,2,0,15.67,4.4,20.0,10.1,2019-01-09 01:00:00
ORD,2019-01-09,2,1,1,0.0,0.0,0.0,3.6,2019-01-09 02:00:00
ORD,2019-01-09,3,2,0,24.0,12.6,0.0,4.1,2019-01-09 03:00:00
ORD,2019-01-09,4,1,0,26.0,14.6,0.22,0.81,2019-01-09 04:00:00
ORD,2019-01-09,5,9,7,13.1,2.29,19.3,1.78,2019-01-09 05:00:00
ORD,2019-01-09,6,33,40,16.11,4.67,2.49,2.35,2019-01-09 06:00:00
ORD,2019-01-09,7,85,65,20.23,8.8,2.47,5.93,2019-01-09 07:00:00
ORD,2019-01-09,8,85,71,20.72,9.22,1.53,8.1,2019-01-09 08:00:00
ORD,2019-01-09,9,59,65,20.59,9.24,2.15,7.22,2019-01-09 09:00:00
ORD,2019-01-09,10,86,58,23.46,11.97,1.77,3.99,2019-01-09 10:00:00
ORD,2019-01-09,11,63,73,23.81,12.25,1.57,4.9,2019-01-09 11:00:00
ORD,2019-01-09,12,72,84,20.42,8.97,2.09,6.57,2019-01-09 12:00:00
ORD,2019-01-09,13,66,63,18.93,7.46,3.31,7.37,2019-01-09 13:00:00
ORD,2019-01-09,14,87,94,21.02,9.34,1.25,5.59,2019-01-09 14:00:00
ORD,2019-01-09,15,72,43,19.54,8.04,1.18,4.44,2019-01-09 15:00:00
ORD,2019-01-09,16,55,77,17.95,6.66,2.19,4.33,2019-01-09 16:00:00
ORD,2019-01-09,17,57,75,19.64,8.04,1.94,4.61,2019-01-09 17:00:00
ORD,2019-01-09,18,98,99,28.3,16.77,2.31,6.13,2019-01-09 18:00:00
ORD,2019-01-09,19,85,67,23.84,12.04,2.13,6.45,2019-01-09 19:00:00
ORD,2019-01-09,20,45,64,16.37,5.02,1.27,7.82,2019-01-09 20:00:00
ORD,2019-01-09,21,49,46,20.02,8.49,8.61,4.48,2019-01-09 21:00:00
ORD,2019-01-09,22,31,19,16.31,5.21,2.48,3.72,2019-01-09 22:00:00
ORD,2019-01-09,23,1,26,15.2,3.88,1.48,3.1,2019-01-09 23:00:00
ORD,2019-01-10,0,8,7,17.4,6.12,0.78,4.21,2019-01-10 00:00:00
ORD,2019-01-10,1,5,0,17.2,5.88,0.0,0.0,2019-01-10 01:00:00
ORD,2019-01-10,2,2,0,17.0,5.6,0.0,4.1,2019-01-10 02:00:00
ORD,2019-01-10,3,0,0,0.0,0.0,0.67,6.57,2019-01-10 03:00:00
ORD,2019-01-10,4,0,1,0.0,0.0,0.13,0.91,2019-01-10 04:00:00
ORD,2019-01-10,5,8,8,12.22,1.09,22.33,1.31,2019-01-10 05:00:00
ORD,2019-01-10,6,33,42,17.86,6.37,1.09,2.64,2019-01-10 06:00:00
ORD,2019-01-10,7,88,66,21.1,9.59,1.72,5.06,2019-01-10 07:00:00
ORD,2019-01-10,8,93,72,22.63,11.12,1.52,7.3,2019-01-10 08:00:00
ORD,2019-01-10,9,59,67,22.69,11.21,1.8,6.04,2019-01-10 09:00:00
ORD,2019-01-10,10,90,59,26.07,14.5,3.78,7.3,2019-01-10 10:00:00
ORD,2019-01-10,11,68,69,23.69,12.29,0.97,4.5,2019-01-10 11:00:00
ORD,2019-01-10,12,71,92,23.76,12.24,1.6,5.94,2019-01-10 12:00:00
ORD,2019-01-10,13,64,66,24.25,12.65,3.3,7.85,2019-01-10 13:00:00
ORD,2019-01-10,14,88,100,22.93,11.35,1.14,6.15,2019-01-10 14:00:00
ORD,2019-01-10,15,79,42,20.0,8.57,2.26,4.82,2019-01-10 15:00:00
ORD,2019-01-10,16,58,76,18.08,6.74,2.25,5.17,2019-01-10 16:00:00
ORD,2019-01-10,17,59,78,22.83,11.21,1.7,6.65,2019-01-10 17:00:00
ORD,2019-01-10,18,98,100,30.87,19.35,2.12,9.22,2019-01-10 18:00:00
ORD,2019-01-10,19,85,75,23.55,11.77,1.27,8.26,2019-01-10 19:00:00
ORD,2019-01-10,20,46,66,15.53,4.44,0.96,7.2,2019-01-10 20:00:00
ORD,2019-01-10,21,51,45,18.29,6.87,0.61,3.95,2019-01-10 21:00:00
ORD,2019-01-10,22,31,23,19.06,7.77,0.81,2.61,2019-01-10 22:00:00
ORD,2019-01-10,23,1,22,14.17,2.83,0.48,2.15,2019-01-10 23:00:00
ORD,2019-01-11,0,5,9,21.17,10.0,2.0,2.76,2019-01-11 00:00:00
ORD,2019-01-11,1,4,0,15.0,3.76,0.0,7.1,2019-01-11 01:00:00
ORD,2019-01-11,2,1,1,0.0,0.0,0.0,7.1,2019-01-11 02:00:00
ORD,2019-01-11,3,0,0,0.0,0.0,0.0,7.1,2019-01-11 03:00:00
ORD,2019-01-11,4,0,0,0.0,0.0,0.0,1.06,2019-01-11 04:00:00
ORD,2019-01-11,5,8,7,14.6,3.44,19.56,1.02,2019-01-11 05:00:00
ORD,2019-01-11,6,33,43,19.0,7.36,1.35,3.13,2019-01-11 06:00:00
ORD,2019-01-11,7,87,66,23.02,11.53,2.79,7.78,2019-01-11 07:00:00
ORD,2019-01-11,8,93,70,20.4,8.89,2.54,10.01,2019-01-11 08:00:00
ORD,2019-01-11,9,60,71,18.38,7.04,4.65,7.94,2019-01-11 09:00:00
ORD,2019-01-11,10,91,60,27.9,16.37,2.27,8.42,2019-01-11 10:00:00
ORD,2019-01-11,11,67,70,18.78,7.32,2.36,6.09,2019-01-11 11:00:00
ORD,2019-01-11,12,71,89,18.43,6.98,2.52,7.71,2019-01-11 12:00:00
ORD,2019-01-11,13,64,67,17.5,6.06,2.3,6.87,2019-01-11 13:00:00
ORD,2019-01-11,14,88,99,19.25,7.64,2.28,8.61,2019-01-11 14:00:00
ORD,2019-01-11,15,77,43,18.92,7.5,2.63,7.18,2019-01-11 15:00:00
ORD,2019-01-11,16,58,79,18.43,6.91,1.92,7.23,2019-01-11 16:00:00
ORD,2019-01-11,17,60,81,22.0,10.17,1.69,9.1,2019-01-11 17:00:00
ORD,2019-01-11,18,98,100,24.4,12.9,2.58,10.51,2019-01-11 18:00:00
ORD,2019-01-11,19,86,76,22.64,10.86,1.46,10.63,2019-01-11 19:00:00
ORD,2019-01-11,20,46,66,17.27,5.95,1.61,10.12,2019-01-11 20:00:00
ORD,2019-01-11,21,52,47,17.28,5.74,1.35,5.76,2019-01-11 21:00:00
ORD,2019-01-11,22,33,19,17.8,6.44,1.64,1.78,2019-01-11 22:00:00
ORD,2019-01-11,23,1,24,18.5,7.1,0.45,1.11,2019-01-11 23:00:00
ORD,2019-01-12,0,5,6,17.71,6.86,1.44,3.71,2019-01-12 00:00:00
ORD,2019-01-12,1,5,0,22.5,11.95,0.0,2.1,2019-01-12 01:00:00
ORD,2019-01-12,2,1,0,24.0,12.6,0.0,5.1,2019-01-12 02:00:00
ORD,2019-01-12,3,0,0,11.0,0.0,0.0,0.0,2019-01-12 03:00:00
ORD,2019-01-12,4,0,0,0.0,0.0,0.0,1.1,2019-01-12 04:00:00
ORD,2019-01-12,5,10,7,16.7,5.39,21.78,2.58,2019-01-12 05:00:00
ORD,2019-01-12,6,22,35,19.04,7.7,2.39,2.73,2019-01-12 06:00:00
ORD,2019-01-12,7,59,50,18.66,7.19,1.89,6.29,2019-01-12 07:00:00
ORD,2019-01-12,8,74,56,17.93,6.49,2.65,7.66,2019-01-12 08:00:00
ORD,2019-01-12,9,59,62,21.38,9.99,4.75,9.91,2019-01-12 09:00:00
ORD,2019-01-12,10,87,47,30.54,19.01,2.89,7.53,2019-01-12 10:00:00
ORD,2019-01-12,11,55,59,37.71,26.15,3.4,7.43,2019-01-12 11:00:00
ORD,2019-01-12,12,62,70,48.77,37.24,4.55,9.24,2019-01-12 12:00:00
ORD,2019-01-12,13,52,62,60.16,48.55,8.33,11.49,2019-01-12 13:00:00
ORD,2019-01-12,14,75,86,58.07,46.35,7.51,14.46,2019-01-12 14:00:00
ORD,2019-01-12,15,60,38,46.1,34.63,4.86,12.09,2019-01-12 15:00:00
ORD,2019-01-12,16,58,71,43.1,31.65,8.68,12.91,2019-01-12 16:00:00
ORD,2019-01-12,17,48,75,52.37,40.49,12.86,14.61,2019-01-12 17:00:00
ORD,2019-01-12,18,82,79,54.68,43.18,24.78,12.49,2019-01-12 18:00:00
ORD,2019-01-12,19,64,56,41.25,29.57,16.62,14.13,2019-01-12 19:00:00
ORD,2019-01-12,20,33,51,35.28,23.85,8.4,14.08,2019-01-12 20:00:00
ORD,2019-01-12,21,42,26,29.86,18.35,2.88,11.12,2019-01-12 21:00:00
ORD,2019-01-12,22,21,10,28.62,17.19,3.85,8.31,2019-01-12 22:00:00
ORD,2019-01-12,23,0,20,33.0,21.9,3.52,8.57,2019-01-12 23:00:00
ORD,2019-01-13,0,4,8,29.4,18.0,0.67,3.47,2019-01-13 00:00:00
ORD,2019-01-13,1,5,0,25.17,13.77,0.0,0.0,2019-01-13 01:00:00
ORD,2019-01-13,2,1,1,20.0,8.6,0.0,0.0,2019-01-13 02:00:00
ORD,2019-01-13,3,1,0,0.0,0.0,6.0,6.1,2019-01-13 03:00:00
ORD,2019-01-13,4,0,0,0.0,0.0,0.0,4.1,2019-01-13 04:00:00
ORD,2019-01-13,5,8,8,29.0,17.78,43.86,2.43,2019-01-13 05:00:00
ORD,2019-01-13,6,26,43,27.96,16.34,2.84,7.3,2019-01-13 06:00:00
ORD,2019-01-13,7,77,58,21.8,10.32,2.21,12.16,2019-01-13 07:00:00
ORD,2019-01-13,8,87,63,22.45,10.96,2.29,9.96,2019-01-13 08:00:00
ORD,2019-01-13,9,60,68,20.84,9.35,3.41,10.1,2019-01-13 09:00:00
ORD,2019-01-13,10,90,60,22.49,10.96,1.96,8.48,2019-01-13 10:00:00
ORD,2019-01-13,11,67,67,18.76,7.34,2.91,8.07,2019-01-13 11:00:00
ORD,2019-01-13,12,71,83,18.79,7.25,2.02,9.47,2019-01-13 12:00:00
ORD,2019-01-13,13,64,63,17.22,5.8,2.3,8.31,2019-01-13 13:00:00
